request_id,master_id,worker_id,query,start_time,end_time,latency,status,error
0,1,0,What is a blockchain?,1778537421.2289531,1778537422.1389,0.9099469184875488,success,
1,2,2,Explain gradient descent,1778537421.453307,1778537422.2623987,0.8090918064117432,success,
2,1,1,What is distributed computing?,1778537421.7769363,1778537423.0650206,1.2880842685699463,success,
3,2,3,Explain REST API design,1778537422.0559173,1778537423.089574,1.0336568355560303,success,
4,1,0,Define neural networks,1778537422.4470322,1778537423.2830865,0.8360543251037598,success,
5,2,2,How does GPU scheduling work?,1778537422.6642756,1778537423.5370162,0.8727405071258545,success,
6,1,1,How does GPU scheduling work?,1778537422.959639,1778537424.041857,1.0822179317474365,success,
8,1,0,Explain REST API design,1778537423.5776446,1778537424.635527,1.057882308959961,success,
7,2,3,What is load balancing?,1778537423.271155,1778537424.635527,1.3643717765808105,success,
9,2,2,Explain gradient descent,1778537423.8696544,1778537424.9675786,1.0979242324829102,success,
10,1,1,What is a blockchain?,1778537424.1780214,1778537425.049714,0.8716926574707031,success,
12,1,0,Explain MapReduce,1778537424.75999,1778537425.684992,0.9250020980834961,success,
11,2,3,Explain REST API design,1778537424.5196042,1778537425.7111661,1.1915619373321533,success,
13,2,2,What is microservices architecture?,1778537425.091279,1778537426.0278237,0.93654465675354,success,
14,1,1,Explain gradient descent,1778537425.370768,1778537426.3109,0.9401319026947021,success,
16,1,0,What is Kubernetes?,1778537425.975686,1778537426.7322733,0.7565872669219971,success,
15,2,3,How does hashing work?,1778537425.6828027,1778537426.9197612,1.2369585037231445,success,
17,2,2,What is distributed computing?,1778537426.274269,1778537427.4679198,1.193650722503662,success,
18,1,1,What is distributed computing?,1778537426.5815394,1778537427.894614,1.3130745887756348,success,
19,2,3,Explain gradient descent,1778537426.9217796,1778537428.09593,1.1741504669189453,success,
20,1,0,How does GPU scheduling work?,1778537427.165746,1778537428.171417,1.0056710243225098,success,
21,2,2,How does GPU scheduling work?,1778537427.466519,1778537428.5776577,1.1111385822296143,success,
22,1,1,What is microservices architecture?,1778537427.7955372,1778537428.8718064,1.0762691497802734,success,
23,2,3,How does hashing work?,1778537428.0674658,1778537429.5683267,1.5008609294891357,success,
25,2,2,What is microservices architecture?,1778537428.6697829,1778537429.6509073,0.9811244010925293,success,
24,1,0,What is distributed computing?,1778537428.3867974,1778537429.7197776,1.3329801559448242,success,
26,1,1,How does GPU scheduling work?,1778537428.972063,1778537429.947715,0.9756519794464111,success,
28,1,0,What is a blockchain?,1778537429.5871115,1778537430.6305623,1.0434508323669434,success,
27,2,3,Explain REST API design,1778537429.271414,1778537430.6964405,1.4250264167785645,success,
29,2,2,Explain REST API design,1778537429.8714712,1778537431.012696,1.1412248611450195,success,
30,1,1,What is microservices architecture?,1778537430.1737301,1778537431.1065493,0.932819128036499,success,
32,1,0,How does GPU scheduling work?,1778537430.7749612,1778537431.704547,0.9295856952667236,success,
31,2,3,What is Kubernetes?,1778537430.5006068,1778537431.732694,1.2320871353149414,success,
33,2,2,Explain Docker containers,1778537431.0742471,1778537431.8440487,0.7698016166687012,success,
