request_id,master_id,worker_id,query,start_time,end_time,latency,status,error
0,1,0,Query 0,1777567563.4587097,1777567563.6497848,0.19107508659362793,success,
1,2,4,Query 1,1777567563.4653306,1777567563.699999,0.23466849327087402,success,
2,1,1,Query 2,1777567563.4684575,1777567563.7588649,0.2904074192047119,success,
3,2,5,Query 3,1777567563.472037,1777567563.8128064,0.34076929092407227,success,
4,1,2,Query 4,1777567563.4740584,1777567563.8677704,0.39371204376220703,success,
5,2,6,Query 5,1777567563.4762502,1777567563.9207628,0.44451260566711426,success,
6,1,3,Query 6,1777567563.4781232,1777567563.9793148,0.5011916160583496,success,
7,2,7,Query 7,1777567563.4799218,1777567564.0375645,0.5576426982879639,success,
8,1,0,Query 8,1777567563.4819608,1777567564.0886364,0.6066756248474121,success,
9,2,4,Query 9,1777567563.4860566,1777567564.1421463,0.6560897827148438,success,
10,1,1,Query 10,1777567563.487417,1777567564.1916935,0.7042765617370605,success,
11,2,5,Query 11,1777567563.4921043,1777567564.2466938,0.7545895576477051,success,
12,1,2,Query 12,1777567563.4939325,1777567564.2962399,0.8023073673248291,success,
13,2,6,Query 13,1777567563.495862,1777567564.3544652,0.8586032390594482,success,
14,1,3,Query 14,1777567563.4978998,1777567564.4059753,0.9080755710601807,success,
15,2,7,Query 15,1777567563.501334,1777567564.456374,0.9550399780273438,success,
16,1,0,Query 16,1777567563.504114,1777567564.5081801,1.0040662288665771,success,
17,2,4,Query 17,1777567563.5055885,1777567564.5591993,1.0536108016967773,success,
18,1,1,Query 18,1777567563.5073466,1777567564.6131392,1.10579252243042,success,
19,2,5,Query 19,1777567563.5091927,1777567564.6641526,1.1549599170684814,success,
20,1,2,Query 20,1777567563.5112247,1777567564.7160633,1.204838514328003,success,
21,2,6,Query 21,1777567563.5135314,1777567564.7680426,1.2545111179351807,success,
22,1,3,Query 22,1777567563.5169294,1777567564.821416,1.3044865131378174,success,
23,2,7,Query 23,1777567563.5185013,1777567564.8664436,1.3479423522949219,success,
24,1,0,Query 24,1777567563.5208836,1777567564.918014,1.3971304893493652,success,
25,2,4,Query 25,1777567563.5229125,1777567564.9725614,1.4496488571166992,success,
26,1,1,Query 26,1777567563.5256484,1777567565.0320308,1.5063824653625488,success,
27,2,5,Query 27,1777567563.5282598,1777567565.0835838,1.5553240776062012,success,
28,1,2,Query 28,1777567563.5301023,1777567565.1361134,1.606011152267456,success,
29,2,6,Query 29,1777567563.533584,1777567565.1886563,1.6550722122192383,success,
30,1,3,Query 30,1777567563.534606,1777567565.2611911,1.7265851497650146,success,
31,2,7,Query 31,1777567563.537267,1777567565.320734,1.7834670543670654,success,
32,1,0,Query 32,1777567563.540176,1777567565.379303,1.8391270637512207,success,
33,2,4,Query 33,1777567563.5421505,1777567565.4379559,1.8958053588867188,success,
34,1,1,Query 34,1777567563.5440328,1777567565.4904954,1.946462631225586,success,
35,2,5,Query 35,1777567563.545732,1777567565.543493,1.9977610111236572,success,
36,1,2,Query 36,1777567563.5474646,1777567565.6092293,2.061764717102051,success,
37,2,6,Query 37,1777567563.5511117,1777567565.6646144,2.1135027408599854,success,
38,1,3,Query 38,1777567563.5529542,1777567565.7132204,2.160266160964966,success,
39,2,7,Query 39,1777567563.554994,1777567565.7731066,2.2181124687194824,success,
40,1,0,Query 40,1777567563.557394,1777567565.8265235,2.269129514694214,success,
41,2,4,Query 41,1777567563.5592015,1777567565.9205432,2.361341714859009,success,
42,1,1,Query 42,1777567563.5610685,1777567565.9740956,2.413027048110962,success,
43,2,5,Query 43,1777567563.5627322,1777567566.0267143,2.463982105255127,success,
44,1,2,Query 44,1777567563.5637412,1777567566.076252,2.5125107765197754,success,
45,2,6,Query 45,1777567563.5678198,1777567566.14207,2.5742502212524414,success,
46,1,3,Query 46,1777567563.5701778,1777567566.1896133,2.6194355487823486,success,
47,2,7,Query 47,1777567563.571965,1777567566.238752,2.6667869091033936,success,
48,1,0,Query 48,1777567563.573864,1777567566.292302,2.718437910079956,success,
49,2,4,Query 49,1777567563.5756073,1777567566.344297,2.7686896324157715,success,
